橋名,(ﾌﾘｶﾞﾅ),路線名,都道府県名,市区町村名,緯度,経度
町谷田橋,(ﾏﾁﾀﾆﾀﾊﾞｼ),市道下伊豆島町谷田線,福島県,郡山市,37.45481度,140.32384度
下谷田橋,(ｼﾓﾀﾆﾀﾞﾊｼ),市道一乗寺緯３７号線,京都府,京都市,35.04556度,135.7925度
一谷田橋,(ｲﾁﾀﾆﾀﾞﾊｼ),市道井手野ぞうめき線,佐賀県,佐賀市,33.43833度,130.32056度
仁谷田橋,(ﾆﾀﾆﾀﾞﾊｼ),県道340号線,宮崎県,宮崎市,31.82579度,131.3591度
大谷田橋,(ｵｵﾀﾆﾀﾞﾊﾞｼ),町道大谷・蝉口線,福井県,越前町,35.94178度,136.11838度
関谷田橋,(ｾｷﾀﾆﾀﾞﾊﾞｼ),市道乙栗子旧国道線,三重県,松阪市,34.40807度,136.19548度
第１谷田橋,(ﾀﾞｲ1ﾀﾆﾀﾞﾊﾞｼ),南2419,滋賀県,大津市,34.97047度,135.90066度
家俊谷田橋,(ｲｴﾄｼﾀﾆﾀﾞﾊﾞｼ),市道森国前谷田線,高知県,土佐市,33.4638度,133.34967度
西谷田橋,(ﾆｼﾀﾆﾀﾞﾊﾞｼ),市道樫ノ木線,高知県,土佐市,33.47度,133.35444度
上谷田橋,(ｶﾐﾀﾝﾀﾞﾊｼ),町道2113号線,福井県,若狭町,35.49583度,135.86528度
小谷田橋,(ｺﾔﾀﾊｼ),市道幹31号線,埼玉県,入間市,35.82483度,139.36777度
小谷田橋歩道橋,(ｺﾔﾀﾊｼﾎﾄﾞｳｷｮｳ),市道幹31号線,埼玉県,入間市,35.82485度,139.36782度
内谷田橋,(ｳﾁﾔﾀﾊｼ),市道D-132号線,埼玉県,深谷市,36.20545度,139.28813度
上谷田橋,(ｶﾐﾔﾀﾊｼ),市道B-631号線,埼玉県,深谷市,36.21056度,139.2625度
北谷田橋,(ｷﾀﾔﾀﾊｼ),市道B-193号線,埼玉県,深谷市,36.21611度,139.26389度
刈谷田橋０２９２,(ｶﾘﾔﾀﾊｼ),県道長岡栃尾巻線,新潟県,長岡市,37.47829度,138.99624度
高谷田橋,(ｺｳﾔﾀﾊﾞｼ),町道184号線,栃木県,高根沢町,36.65083度,140.03361度
仲伊谷田橋,(ﾅｶｲﾔﾀﾊﾞｼ),東北縦貫自動車道弘前線,群馬県,館林市,36.25544度,139.59658度
仲伊谷田橋,(ﾅｶｲﾔﾀﾊﾞｼ),東北縦貫自動車道弘前線,群馬県,館林市,36.25548度,139.59636度
仲伊谷田橋,(ﾅｶｲﾔﾀﾊﾞｼ),市道8223号線,群馬県,館林市,36.27328度,139.52198度
新刈谷田橋,(ｼﾝｶﾘﾔﾀﾊﾞｼ),市道栃尾金町栃高線,新潟県,長岡市,37.48075度,138.99528度
刈谷田橋０８５９,(ｶﾘﾔﾀﾊﾞｼ),国道４０３号,新潟県,三条市,37.6度,138.87608度
後谷田橋,(ｺﾞﾔﾀﾊﾞｼ),市道北498号線,静岡県,袋井市,34.716389度,137.92444度
三谷田橋,(ﾐﾔﾀﾊﾞｼ),市道長谷大池線,静岡県,掛川市,34.7675度,137.98944度
美谷田橋,(ﾋﾞﾔﾀﾞﾊｼ),町道美谷田中里線,福島県,浅川町,37.08246度,140.42851度
大谷田橋,(ｵｵﾔﾀﾞﾊｼ),市道大谷田線,静岡県,掛川市,34.70611度,138.03861度
神谷田橋,(ｶﾐﾔﾀﾞﾊｼ),市道田代分垂線,愛知県,新城市,34.97111度,137.56583度
橋谷田橋,(ﾊｼﾔﾀﾞﾊﾞｼ),市道豊岡４線,北海道,芦別市,43.60434度,142.17437度
糀谷田橋,(ｺｳｼﾞﾔﾀﾞﾊﾞｼ),市道郷田森下線,岩手県,奥州市,39.12152度,141.09533度
東谷田橋,(ﾋｶﾞｼﾔﾀﾞﾊﾞｼ),市道８２０号線,栃木県,宇都宮市,36.50002度,139.84856度
下谷田橋,(ｼﾓﾔﾀﾞﾊﾞｼ),村道谷田立線新道２号線,長野県,中川村,35.64745度,137.96171度
中谷田橋,(ﾅｶﾔﾀﾞﾊﾞｼ),村道谷田線,長野県,中川村,35.64922度,137.9643度
平野谷田橋,(ﾋﾗﾉﾔﾀﾞﾊﾞｼ),市道平野沢左岸2号線,静岡県,掛川市,34.75194度,137.9775度
西谷田橋,(ﾆｼﾔﾀﾞﾊﾞｼ),市道下西郷1－8号線,静岡県,掛川市,34.78222度,138.00972度
長谷田橋,(ﾊｾﾀﾞﾊﾞｼ),長谷田2号線,青森県,大鰐町,40.51333度,140.59472度
長谷田橋,(ﾊｾﾀﾞﾊﾞｼ),県道熊谷小川秩父線,埼玉県,東秩父村,36.06269度,139.18152度
