橋名,(ﾌﾘｶﾞﾅ),路線名,都道府県名,市区町村名,緯度,経度
谷田橋,(ﾀﾆﾀﾊﾞｼ),市道（赤）1-362号線,群馬県,伊勢崎市,36.38833度,139.22806度
谷田橋,(ﾀﾆﾀﾊﾞｼ),緑が丘二丁目４号線,大阪府,大東市,34.71583度,135.63472度
谷田橋,(ﾀﾆﾀﾊﾞｼ),町道谷田立石線,香川県,まんのう町,34.10083度,133.99917度
谷田橋,(ﾀﾆﾀﾊﾞｼ),市道春野町689号線,高知県,高知市,33.51055度,133.51954度
谷田橋,(ﾀﾆﾀﾞﾊｼ),市道美人ヶ谷奥谷田線,静岡県,掛川市,34.81333度,138.0125度
谷田橋,(ﾀﾆﾀﾞﾊｼ),市道下大道谷ノ田１号線,愛知県,田原市,34.59528度,137.12056度
谷田橋,(ﾀﾆﾀﾞﾊｼ),市道松尾山田経１８号線,京都府,京都市,34.98583度,135.68778度
谷田橋,(ﾀﾆﾀﾞﾊｼ),府道高野修学院山端線,京都府,京都市,35.04556度,135.79417度
谷田橋,(ﾀﾆﾀﾞﾊｼ),市道平塚熊野田線,大阪府,豊中市,34.78964度,135.48535度
谷田橋,(ﾀﾆﾀﾞﾊｼ),上福万日下原線,鳥取県,米子市,35.39688度,133.4237度
谷田橋,(ﾀﾆﾀﾞﾊｼ),国道11号,愛媛県,西条市,33.89639度,133.12333度
谷田橋,(ﾀﾆﾀﾞﾊｼ),県道下山越知線,高知県,佐川町,33.52556度,133.28631度
谷田橋,(ﾀﾆﾀﾞﾊﾞｼ),町道敷原線,岐阜県,垂井町,35.39917度,136.52333度
谷田橋,(ﾀﾆﾀﾞﾊﾞｼ),県道山東本巣線,岐阜県,揖斐川町,35.53075度,136.5182度
谷田橋,(ﾀﾆﾀﾞﾊﾞｼ),中央自動車道西宮線,滋賀県,大津市,34.96989度,135.89964度
谷田橋,(ﾀﾆﾀﾞﾊﾞｼ),中央自動車道西宮線,滋賀県,大津市,34.97002度,135.89967度
谷田橋,(ﾀﾆﾀﾞﾊﾞｼ),府道大阪中央環状線,大阪府,茨木市,34.8075度,135.55694度
谷田橋,(ﾀﾆﾀﾞﾊﾞｼ),上久米廻渕線,兵庫県,加東市,34.92444度,135.05361度
谷田橋,(ﾀﾆﾀﾞﾊﾞｼ),谷田線,兵庫県,丹波篠山市,35.00447度,135.09997度
谷田橋,(ﾀﾆﾀﾞﾊﾞｼ),津万井７号線,兵庫県,西脇市,35.02031度,134.98994度
谷田橋,(ﾀﾆﾀﾞﾊﾞｼ),ドメキ線,兵庫県,丹波篠山市,35.07447度,135.20819度
谷田橋,(ﾀﾆﾀﾞﾊﾞｼ),春日栗柄線,兵庫県,丹波市,35.13749度,135.19622度
谷田橋,(ﾀﾆﾀﾞﾊﾞｼ),挙田第5号,兵庫県,丹波市,35.17067度,135.09758度
谷田橋,(ﾀﾆﾀﾞﾊﾞｼ),町道22号線,和歌山県,九度山町,34.28753度,135.56417度
谷田橋,(ﾀﾆﾀﾞﾊﾞｼ),中間小波上線,鳥取県,米子市,35.43919度,133.40694度
谷田橋,(ﾀﾆﾀﾞﾊﾞｼ),高井谷線,鳥取県,米子市,35.4395度,133.43951度
谷田橋,(ﾀﾆﾀﾞﾊﾞｼ),市道宇内塚線,岡山県,井原市,34.64802度,133.41705度
谷田橋,(ﾀﾆﾀﾞﾊﾞｼ),市道田原上２号線,岡山県,高梁市,34.82306度,133.44度
谷田橋,(ﾀﾝﾀﾞﾊｼ),町道2110号線,福井県,若狭町,35.49611度,135.86583度
谷田橋,(ﾀﾝﾀﾞﾊﾞｼ),その他市道吉川谷田線,鳥取県,鳥取市,35.51256度,133.98802度
谷田橋,(ﾀﾝﾀﾞﾊﾞｼ),村道宝田・鍛治屋線,岡山県,新庄村,35.18321度,133.57011度
谷田橋,(ﾀﾝﾀﾞﾊﾞｼ),市道谷田,鹿児島県,鹿屋市,31.47094度,130.88998度
谷田橋１,(ﾀﾝﾀﾞﾊﾞｼ1),谷田小明線支線１２号,奈良県,生駒市,34.6962度,135.7022度
谷田橋２,(ﾀﾝﾀﾞﾊﾞｼ2),谷田小明線支線２号,奈良県,生駒市,34.69382度,135.70259度
谷田橋,(ﾔﾀﾊｼ),市道1658号線,埼玉県,坂戸市,35.97454度,139.42647度
谷田橋,(ﾔﾀﾊﾞｼ),市道第９８号線,埼玉県,ふじみ野市,35.87167度,139.54度
谷田橋,(ﾔﾀﾊﾞｼ),市道乗政１２号線,岐阜県,下呂市,35.78167度,137.28444度
谷田橋,(ﾔﾀﾊﾞｼ),県道安城知立線,愛知県,安城市,34.98061度,137.05623度
谷田橋,(ﾔﾀﾞﾊｼ),勝俣60号線,静岡県,牧之原市,34.73839度,138.21658度
谷田橋,(ﾔﾀﾞﾊｼ),市道三ヶ日谷田線,静岡県,浜松市,34.78406度,137.51781度
谷田橋,(ﾔﾀﾞﾊﾞｼ),村道（１級）北山方飯沼線,長野県,中川村,35.64639度,137.95917度
