団体コード,値
01100,4
01202,4
01203,3
01204,4
01205,4
01206,4
01207,0
01208,3
01209,1
01210,2
01211,2
01212,2
01213,3
01214,4
01215,1
01216,0
01217,1
01218,0
01219,0
01220,1
01221,1
01222,0
01223,3
01224,1
01225,2
01226,1
01227,0
01228,2
01229,2
01230,1
01231,1
01233,1
01234,1
01235,0
01236,1
01303,2
01304,0
01331,0
01332,1
01333,1
01334,2
01337,1
01343,0
01345,1
01346,1
01347,1
01361,0
01362,0
01363,0
01364,0
01367,0
01370,0
01371,0
01391,0
01392,0
01393,0
01394,0
01395,4
01396,0
01397,0
01398,0
01399,0
01400,0
01401,0
01402,0
01403,0
01404,0
01405,0
01406,0
01407,0
01408,0
01409,0
01423,0
01424,1
01425,0
01427,1
01428,0
01429,1
01430,2
01431,1
01432,2
01433,1
01434,1
01436,1
01437,2
01438,1
01452,1
01453,0
01454,1
01455,1
01456,1
01457,3
01458,0
01459,3
01460,3
01461,1
01462,1
01463,1
01464,1
01465,1
01468,0
01469,1
01470,1
01471,1
01472,0
01481,0
01482,0
01483,0
01484,0
01485,0
01486,0
01487,0
01511,0
01512,0
01513,0
01514,0
01516,3
01517,0
01518,0
01519,0
01520,3
01543,1
01544,0
01545,2
01546,1
01547,1
01549,0
01550,0
01552,0
01555,3
01559,0
01560,0
01561,0
01562,0
01563,0
01564,1
01571,3
01575,0
01578,1
01581,2
01584,3
01585,1
01586,1
01601,0
01602,0
01604,0
01607,0
01608,0
01609,0
01610,0
01631,1
01632,0
01633,0
01634,0
01635,1
01636,1
01637,1
01638,0
01639,0
01641,0
01642,0
01643,0
01644,1
01645,0
01646,1
01647,0
01648,0
01649,1
01661,1
01662,1
01663,1
01664,2
01665,2
01667,0
01668,1
01691,0
01692,0
01693,0
01694,0
01695,0
01696,0
01697,0
01698,0
01699,0
01700,0
02201,2
02202,0
02203,1
02204,0
02205,0
02206,1
02207,0
02208,0
02209,0
02210,0
02301,0
02303,3
02304,1
02307,2
02321,0
02323,0
02343,0
02361,0
02362,0
02367,0
02381,0
02384,0
02387,1
02401,0
02402,1
02405,1
02406,0
02408,1
02411,0
02412,1
02423,0
02424,0
02425,0
02426,0
02441,0
02442,1
02443,0
02445,1
02446,0
02450,0
03201,3
03202,0
03203,0
03205,1
03206,3
03207,0
03208,0
03209,2
03210,0
03211,0
03213,1
03214,1
03215,1
03216,2
03301,2
03302,0
03303,1
03321,1
03322,1
03366,1
03381,1
03402,3
03441,0
03461,0
03482,0
03483,0
03484,0
03485,0
03501,0
03503,0
03506,0
03507,0
03524,1
04100,3
04202,2
04203,1
04205,0
04206,1
04207,1
04208,0
04209,1
04211,1
04212,1
04213,3
04214,0
04215,3
04216,1
04301,1
04302,0
04321,4
04322,2
04323,1
04324,0
04341,0
04361,1
04362,1
04401,1
04404,0
04406,1
04421,1
04422,1
04424,1
04444,0
04445,1
04501,1
04505,2
04581,0
04606,3
05201,4
05202,1
05203,2
05204,3
05206,0
05207,0
05209,2
05210,1
05211,1
05212,3
05213,1
05214,1
05215,3
05303,0
05327,0
05346,0
05348,1
05349,0
05361,1
05363,1
05366,1
05368,0
05434,1
05463,0
05464,0
06201,1
06202,0
06203,2
06204,4
06205,0
06206,0
06207,3
06208,1
06209,1
06210,3
06211,1
06212,1
06213,1
06301,0
06302,0
06321,0
06322,0
06323,0
06324,0
06341,1
06361,0
06362,0
06363,0
06364,0
06365,0
06366,0
06367,0
06381,0
06382,1
06401,1
06402,0
06403,1
06426,0
06428,1
06461,1
07201,1
07202,3
07203,3
07204,3
07205,1
07207,3
07208,0
07209,1
07210,1
07211,0
07212,2
07213,1
07214,1
07301,1
07303,1
07308,0
07322,1
07342,1
07344,1
07362,0
07364,0
07367,2
07368,0
07402,3
07405,0
07407,4
07408,4
07421,1
07422,0
07423,1
07444,1
07445,2
07446,0
07447,1
07461,1
07464,1
07465,0
07466,1
07481,1
07482,1
07483,1
07484,0
07501,1
07502,1
07503,0
07504,1
07505,0
07521,0
07522,0
07541,1
07542,1
07543,1
07544,0
07545,1
07546,1
07547,1
07548,0
07561,1
07564,0
08201,2
08202,1
08203,1
08204,1
08205,1
08207,1
08208,1
08210,0
08211,0
08212,3
08214,1
08215,1
08216,2
08217,1
08219,1
08220,3
08221,1
08222,0
08223,0
08224,1
08225,1
08226,1
08227,1
08228,0
08229,0
08230,1
08231,1
08232,0
08233,0
08234,0
08235,1
08236,1
08302,0
08309,0
08310,0
08341,1
08364,1
08442,0
08443,1
08447,0
08521,0
08542,1
08546,0
08564,0
09201,3
09202,1
09203,3
09204,1
09205,1
09206,4
09208,2
09209,0
09210,1
09211,1
09213,1
09214,1
09215,0
09216,1
09301,1
09342,0
09343,0
09344,0
09345,0
09361,0
09364,1
09384,1
09386,0
09407,1
09411,0
10201,3
10202,3
10203,2
10204,1
10205,3
10206,1
10207,2
10208,4
10209,1
10210,0
10211,2
10212,2
10344,0
10345,1
10366,0
10367,0
10382,0
10383,0
10384,0
10421,1
10424,1
10425,2
10426,0
10428,0
10429,1
10443,0
10444,0
10448,1
10449,3
10464,0
10521,3
10522,1
10523,0
10524,2
10525,1
11100,3
11201,3
11202,1
11203,4
11206,3
11207,3
11208,1
11209,3
11210,3
11211,2
11212,1
11214,0
11215,0
11216,1
11217,1
11218,2
11219,1
11221,0
11222,1
11223,1
11224,3
11225,1
11227,1
11228,1
11229,3
11230,1
11231,1
11232,1
11233,1
11234,1
11235,1
11237,1
11238,1
11239,1
11240,0
11241,1
11242,3
11243,1
11245,3
11246,1
11301,1
11324,3
11326,1
11327,1
11341,3
11342,3
11343,1
11346,1
11347,1
11348,0
11349,1
11361,1
11362,1
11363,3
11365,0
11369,0
11381,1
11383,1
11385,0
11408,3
11442,0
11464,0
11465,0
12100,3
12202,0
12203,1
12204,2
12205,4
12206,3
12207,1
12208,0
12210,1
12211,3
12212,3
12213,0
12215,0
12216,1
12217,3
12218,3
12219,2
12220,1
12221,1
12222,3
12223,3
12224,0
12225,0
12226,2
12227,3
12228,1
12229,1
12230,0
12231,0
12232,1
12233,1
12234,1
12235,0
12236,0
12237,3
12238,2
12239,1
12322,1
12329,0
12342,0
12347,0
12349,0
12403,0
12409,0
12410,0
12421,1
12422,0
12423,1
12424,0
12426,0
12427,0
12441,2
12443,3
12463,0
13101,5
13102,3
13103,3
13104,3
13105,3
13106,3
13107,3
13108,3
13109,3
13110,3
13111,3
13112,3
13113,3
13114,3
13115,3
13116,3
13117,3
13118,3
13119,3
13120,3
13121,3
13122,3
13123,1
13201,4
13202,2
13203,3
13204,3
13205,2
13206,4
13207,1
13208,3
13209,3
13210,1
13211,3
13212,1
13213,3
13214,3
13215,3
13218,1
13219,1
13220,3
13221,1
13222,0
13223,3
13224,2
13225,1
13227,1
13228,1
13229,3
13303,0
13305,1
13307,3
13308,3
13361,0
13362,0
13363,0
13364,0
13381,0
13382,0
13401,0
13402,0
13421,0
14100,4
14130,3
14150,1
14201,3
14203,2
14204,4
14205,3
14206,4
14207,2
14208,1
14210,3
14211,1
14212,1
14213,1
14214,1
14215,2
14216,1
14217,0
